PID: 01 | Hora: 23:08:30.555
PID: 04 | Hora: 23:08:31.557
PID: 03 | Hora: 23:08:32.558
PID: 02 | Hora: 23:08:33.561
PID: 05 | Hora: 23:08:34.562
PID: 01 | Hora: 23:08:35.564
PID: 04 | Hora: 23:08:36.566
PID: 03 | Hora: 23:08:37.568
PID: 02 | Hora: 23:08:38.569
PID: 05 | Hora: 23:08:39.571
PID: 01 | Hora: 23:08:40.573
PID: 04 | Hora: 23:08:41.575
PID: 03 | Hora: 23:08:42.577
PID: 02 | Hora: 23:08:43.579
PID: 05 | Hora: 23:08:44.581
