PID: 03 | Hora: 13:58:41.380
PID: 02 | Hora: 13:58:42.382
PID: 01 | Hora: 13:58:43.384
PID: 04 | Hora: 13:58:44.386
PID: 05 | Hora: 13:58:45.388
PID: 03 | Hora: 13:58:46.389
PID: 02 | Hora: 13:58:47.391
PID: 01 | Hora: 13:58:48.393
PID: 04 | Hora: 13:58:49.394
PID: 05 | Hora: 13:58:50.396
PID: 03 | Hora: 13:58:51.398
PID: 02 | Hora: 13:58:52.399
PID: 01 | Hora: 13:58:53.401
PID: 04 | Hora: 13:58:54.402
PID: 05 | Hora: 13:58:55.404
